date,amount,description
4740-05-01,5000,Salary payment
4740-06-02,-3000,Rent payment
4740-07-05,-200,Grocery shopping
4740-09-03,-1000,Electricity bill
4740-10-07,2500,Client payment
4740-10-01,5000,Salary payment
4740-11-02,-3000,Rent payment
4740-12-05,-200,Grocery shopping
4741-02-03,-1000,Electricity bill
4741-03-07,2500,Client payment
4741-03-01,5000,Salary payment
4741-04-02,-3000,Rent payment
4741-05-05,-200,Grocery shopping
4741-07-03,-1000,Electricity bill
4741-08-07,2500,Client payment
4741-08-01,5000,Salary payment
4741-09-02,-3000,Rent payment
4741-10-05,-200,Grocery shopping
4741-12-03,-1000,Electricity bill
4742-01-07,2500,Client payment
4742-01-01,5000,Salary payment
4742-02-02,-3000,Rent payment
4742-03-05,-200,Grocery shopping
4742-05-03,-1000,Electricity bill
4742-06-07,2500,Client payment
4742-06-01,5000,Salary payment
4742-07-02,-3000,Rent payment
4742-08-05,-200,Grocery shopping
4742-10-03,-1000,Electricity bill
4742-11-07,2500,Client payment
4742-11-01,5000,Salary payment
4742-12-02,-3000,Rent payment
4743-01-05,-200,Grocery shopping
4743-03-03,-1000,Electricity bill
4743-04-07,2500,Client payment
4743-04-01,5000,Salary payment
4743-05-02,-3000,Rent payment
4743-06-05,-200,Grocery shopping
4743-08-03,-1000,Electricity bill
4743-09-07,2500,Client payment
4743-09-01,5000,Salary payment
4743-10-02,-3000,Rent payment
4743-11-05,-200,Grocery shopping
4744-01-03,-1000,Electricity bill
4744-02-07,2500,Client payment
4744-02-01,5000,Salary payment
4744-03-02,-3000,Rent payment
4744-04-05,-200,Grocery shopping
4744-06-03,-1000,Electricity bill
4744-07-07,2500,Client payment
4744-07-01,5000,Salary payment
4744-08-02,-3000,Rent payment
4744-09-05,-200,Grocery shopping
4744-11-03,-1000,Electricity bill
4744-12-07,2500,Client payment
4744-12-01,5000,Salary payment
4745-01-02,-3000,Rent payment
4745-02-05,-200,Grocery shopping
4745-04-03,-1000,Electricity bill
4745-05-07,2500,Client payment
4745-05-01,5000,Salary payment
4745-06-02,-3000,Rent payment
4745-07-05,-200,Grocery shopping
4745-09-03,-1000,Electricity bill
4745-10-07,2500,Client payment
4745-10-01,5000,Salary payment
4745-11-02,-3000,Rent payment
4745-12-05,-200,Grocery shopping
4746-02-03,-1000,Electricity bill
4746-03-07,2500,Client payment
4746-03-01,5000,Salary payment
4746-04-02,-3000,Rent payment
4746-05-05,-200,Grocery shopping
4746-07-03,-1000,Electricity bill
4746-08-07,2500,Client payment
4746-08-01,5000,Salary payment
4746-09-02,-3000,Rent payment
4746-10-05,-200,Grocery shopping
4746-12-03,-1000,Electricity bill
4747-01-07,2500,Client payment
4747-01-01,5000,Salary payment
4747-02-02,-3000,Rent payment
4747-03-05,-200,Grocery shopping
4747-05-03,-1000,Electricity bill
4747-06-07,2500,Client payment
4747-06-01,5000,Salary payment
4747-07-02,-3000,Rent payment
4747-08-05,-200,Grocery shopping
4747-10-03,-1000,Electricity bill
4747-11-07,2500,Client payment
4747-11-01,5000,Salary payment
4747-12-02,-3000,Rent payment
4748-01-05,-200,Grocery shopping
4748-03-03,-1000,Electricity bill
4748-04-07,2500,Client payment
4748-04-01,5000,Salary payment
4748-05-02,-3000,Rent payment
4748-06-05,-200,Grocery shopping
4748-08-03,-1000,Electricity bill
4748-09-07,2500,Client payment
4748-09-01,5000,Salary payment
4748-10-02,-3000,Rent payment
4748-11-05,-200,Grocery shopping
4749-01-03,-1000,Electricity bill
4749-02-07,2500,Client payment
4749-02-01,5000,Salary payment
4749-03-02,-3000,Rent payment
4749-04-05,-200,Grocery shopping
4749-06-03,-1000,Electricity bill
4749-07-07,2500,Client payment
4749-07-01,5000,Salary payment
4749-08-02,-3000,Rent payment
4749-09-05,-200,Grocery shopping
4749-11-03,-1000,Electricity bill
4749-12-07,2500,Client payment
4749-12-01,5000,Salary payment
4750-01-02,-3000,Rent payment
4750-02-05,-200,Grocery shopping
4750-04-03,-1000,Electricity bill
4750-05-07,2500,Client payment
4750-05-01,5000,Salary payment
4750-06-02,-3000,Rent payment
4750-07-05,-200,Grocery shopping
4750-09-03,-1000,Electricity bill
4750-10-07,2500,Client payment
4750-10-01,5000,Salary payment
4750-11-02,-3000,Rent payment
4750-12-05,-200,Grocery shopping
4751-02-03,-1000,Electricity bill
4751-03-07,2500,Client payment
4751-03-01,5000,Salary payment
4751-04-02,-3000,Rent payment
4751-05-05,-200,Grocery shopping
4751-07-03,-1000,Electricity bill
4751-08-07,2500,Client payment
4751-08-01,5000,Salary payment
4751-09-02,-3000,Rent payment
4751-10-05,-200,Grocery shopping
4751-12-03,-1000,Electricity bill
4752-01-07,2500,Client payment
4752-01-01,5000,Salary payment
4752-02-02,-3000,Rent payment
4752-03-05,-200,Grocery shopping
4752-05-03,-1000,Electricity bill
4752-06-07,2500,Client payment
4752-06-01,5000,Salary payment
4752-07-02,-3000,Rent payment
4752-08-05,-200,Grocery shopping
4752-10-03,-1000,Electricity bill
4752-11-07,2500,Client payment
4752-11-01,5000,Salary payment
4752-12-02,-3000,Rent payment
4753-01-05,-200,Grocery shopping
4753-03-03,-1000,Electricity bill
4753-04-07,2500,Client payment
4753-04-01,5000,Salary payment
4753-05-02,-3000,Rent payment
4753-06-05,-200,Grocery shopping
4753-08-03,-1000,Electricity bill
4753-09-07,2500,Client payment
4753-09-01,5000,Salary payment
4753-10-02,-3000,Rent payment
4753-11-05,-200,Grocery shopping
4754-01-03,-1000,Electricity bill
4754-02-07,2500,Client payment
4754-02-01,5000,Salary payment
4754-03-02,-3000,Rent payment
4754-04-05,-200,Grocery shopping
4754-06-03,-1000,Electricity bill
4754-07-07,2500,Client payment
4754-07-01,5000,Salary payment
4754-08-02,-3000,Rent payment
4754-09-05,-200,Grocery shopping
4754-11-03,-1000,Electricity bill
4754-12-07,2500,Client payment
4754-12-01,5000,Salary payment
4755-01-02,-3000,Rent payment
4755-02-05,-200,Grocery shopping
4755-04-03,-1000,Electricity bill
4755-05-07,2500,Client payment
4755-05-01,5000,Salary payment
4755-06-02,-3000,Rent payment
4755-07-05,-200,Grocery shopping
4755-09-03,-1000,Electricity bill
4755-10-07,2500,Client payment
4755-10-01,5000,Salary payment
4755-11-02,-3000,Rent payment
4755-12-05,-200,Grocery shopping
4756-02-03,-1000,Electricity bill
4756-03-07,2500,Client payment
4756-03-01,5000,Salary payment
4756-04-02,-3000,Rent payment
4756-05-05,-200,Grocery shopping
4756-07-03,-1000,Electricity bill
4756-08-07,2500,Client payment
4756-08-01,5000,Salary payment
4756-09-02,-3000,Rent payment
4756-10-05,-200,Grocery shopping
4756-12-03,-1000,Electricity bill
4757-01-07,2500,Client payment
4757-01-01,5000,Salary payment
4757-02-02,-3000,Rent payment
4757-03-05,-200,Grocery shopping
4757-05-03,-1000,Electricity bill
4757-06-07,2500,Client payment
4757-06-01,5000,Salary payment
4757-07-02,-3000,Rent payment
4757-08-05,-200,Grocery shopping
4757-10-03,-1000,Electricity bill
4757-11-07,2500,Client payment
4757-11-01,5000,Salary payment
4757-12-02,-3000,Rent payment
4758-01-05,-200,Grocery shopping
4758-03-03,-1000,Electricity bill
4758-04-07,2500,Client payment
4758-04-01,5000,Salary payment
4758-05-02,-3000,Rent payment
4758-06-05,-200,Grocery shopping
4758-08-03,-1000,Electricity bill
4758-09-07,2500,Client payment
4758-09-01,5000,Salary payment
4758-10-02,-3000,Rent payment
4758-11-05,-200,Grocery shopping
4759-01-03,-1000,Electricity bill
4759-02-07,2500,Client payment
4759-02-01,5000,Salary payment
4759-03-02,-3000,Rent payment
4759-04-05,-200,Grocery shopping
4759-06-03,-1000,Electricity bill
4759-07-07,2500,Client payment
4759-07-01,5000,Salary payment
4759-08-02,-3000,Rent payment
4759-09-05,-200,Grocery shopping
4759-11-03,-1000,Electricity bill
4759-12-07,2500,Client payment
4759-12-01,5000,Salary payment
4760-01-02,-3000,Rent payment
4760-02-05,-200,Grocery shopping
4760-04-03,-1000,Electricity bill
4760-05-07,2500,Client payment
4760-05-01,5000,Salary payment
4760-06-02,-3000,Rent payment
4760-07-05,-200,Grocery shopping
4760-09-03,-1000,Electricity bill
4760-10-07,2500,Client payment
4760-10-01,5000,Salary payment
4760-11-02,-3000,Rent payment
4760-12-05,-200,Grocery shopping
4761-02-03,-1000,Electricity bill
4761-03-07,2500,Client payment
4761-03-01,5000,Salary payment
4761-04-02,-3000,Rent payment
4761-05-05,-200,Grocery shopping
4761-07-03,-1000,Electricity bill
4761-08-07,2500,Client payment
4761-08-01,5000,Salary payment
4761-09-02,-3000,Rent payment
4761-10-05,-200,Grocery shopping
4761-12-03,-1000,Electricity bill
4762-01-07,2500,Client payment
4762-01-01,5000,Salary payment
4762-02-02,-3000,Rent payment
4762-03-05,-200,Grocery shopping
4762-05-03,-1000,Electricity bill
4762-06-07,2500,Client payment
4762-06-01,5000,Salary payment
4762-07-02,-3000,Rent payment
4762-08-05,-200,Grocery shopping
4762-10-03,-1000,Electricity bill
4762-11-07,2500,Client payment
4762-11-01,5000,Salary payment
4762-12-02,-3000,Rent payment
4763-01-05,-200,Grocery shopping
4763-03-03,-1000,Electricity bill
4763-04-07,2500,Client payment
4763-04-01,5000,Salary payment
4763-05-02,-3000,Rent payment
4763-06-05,-200,Grocery shopping
4763-08-03,-1000,Electricity bill
4763-09-07,2500,Client payment
4763-09-01,5000,Salary payment
4763-10-02,-3000,Rent payment
4763-11-05,-200,Grocery shopping
4764-01-03,-1000,Electricity bill
4764-02-07,2500,Client payment
4764-02-01,5000,Salary payment
4764-03-02,-3000,Rent payment
4764-04-05,-200,Grocery shopping
4764-06-03,-1000,Electricity bill
4764-07-07,2500,Client payment
4764-07-01,5000,Salary payment
4764-08-02,-3000,Rent payment
4764-09-05,-200,Grocery shopping
4764-11-03,-1000,Electricity bill
4764-12-07,2500,Client payment
4764-12-01,5000,Salary payment
4765-01-02,-3000,Rent payment
4765-02-05,-200,Grocery shopping
4765-04-03,-1000,Electricity bill
4765-05-07,2500,Client payment
4765-05-01,5000,Salary payment
4765-06-02,-3000,Rent payment
4765-07-05,-200,Grocery shopping
4765-09-03,-1000,Electricity bill
4765-10-07,2500,Client payment
4765-10-01,5000,Salary payment
4765-11-02,-3000,Rent payment
4765-12-05,-200,Grocery shopping
4766-02-03,-1000,Electricity bill
4766-03-07,2500,Client payment
4766-03-01,5000,Salary payment
4766-04-02,-3000,Rent payment
4766-05-05,-200,Grocery shopping
4766-07-03,-1000,Electricity bill
4766-08-07,2500,Client payment
4766-08-01,5000,Salary payment
4766-09-02,-3000,Rent payment
4766-10-05,-200,Grocery shopping
4766-12-03,-1000,Electricity bill
4767-01-07,2500,Client payment
4767-01-01,5000,Salary payment
4767-02-02,-3000,Rent payment
4767-03-05,-200,Grocery shopping
4767-05-03,-1000,Electricity bill
4767-06-07,2500,Client payment
4767-06-01,5000,Salary payment
4767-07-02,-3000,Rent payment
4767-08-05,-200,Grocery shopping
4767-10-03,-1000,Electricity bill
4767-11-07,2500,Client payment
4767-11-01,5000,Salary payment
4767-12-02,-3000,Rent payment
4768-01-05,-200,Grocery shopping
4768-03-03,-1000,Electricity bill
4768-04-07,2500,Client payment
4768-04-01,5000,Salary payment
4768-05-02,-3000,Rent payment
4768-06-05,-200,Grocery shopping
4768-08-03,-1000,Electricity bill
4768-09-07,2500,Client payment
4768-09-01,5000,Salary payment
4768-10-02,-3000,Rent payment
4768-11-05,-200,Grocery shopping
4769-01-03,-1000,Electricity bill
4769-02-07,2500,Client payment
4769-02-01,5000,Salary payment
4769-03-02,-3000,Rent payment
4769-04-05,-200,Grocery shopping
4769-06-03,-1000,Electricity bill
4769-07-07,2500,Client payment
4769-07-01,5000,Salary payment
4769-08-02,-3000,Rent payment
4769-09-05,-200,Grocery shopping
4769-11-03,-1000,Electricity bill
4769-12-07,2500,Client payment
4769-12-01,5000,Salary payment
4770-01-02,-3000,Rent payment
4770-02-05,-200,Grocery shopping
4770-04-03,-1000,Electricity bill
4770-05-07,2500,Client payment
4770-05-01,5000,Salary payment
4770-06-02,-3000,Rent payment
4770-07-05,-200,Grocery shopping
4770-09-03,-1000,Electricity bill
4770-10-07,2500,Client payment
4770-10-01,5000,Salary payment
4770-11-02,-3000,Rent payment
4770-12-05,-200,Grocery shopping
4771-02-03,-1000,Electricity bill
4771-03-07,2500,Client payment
4771-03-01,5000,Salary payment
4771-04-02,-3000,Rent payment
4771-05-05,-200,Grocery shopping
4771-07-03,-1000,Electricity bill
4771-08-07,2500,Client payment
4771-08-01,5000,Salary payment
4771-09-02,-3000,Rent payment
4771-10-05,-200,Grocery shopping
4771-12-03,-1000,Electricity bill
4772-01-07,2500,Client payment
4772-01-01,5000,Salary payment
4772-02-02,-3000,Rent payment
4772-03-05,-200,Grocery shopping
4772-05-03,-1000,Electricity bill
4772-06-07,2500,Client payment
4772-06-01,5000,Salary payment
4772-07-02,-3000,Rent payment
4772-08-05,-200,Grocery shopping
4772-10-03,-1000,Electricity bill
4772-11-07,2500,Client payment
4772-11-01,5000,Salary payment
4772-12-02,-3000,Rent payment
4773-01-05,-200,Grocery shopping
4773-03-03,-1000,Electricity bill
4773-04-07,2500,Client payment
4773-04-01,5000,Salary payment
4773-05-02,-3000,Rent payment
4773-06-05,-200,Grocery shopping
4773-08-03,-1000,Electricity bill
4773-09-07,2500,Client payment
4773-09-01,5000,Salary payment
4773-10-02,-3000,Rent payment
4773-11-05,-200,Grocery shopping
4774-01-03,-1000,Electricity bill
4774-02-07,2500,Client payment
4774-02-01,5000,Salary payment
4774-03-02,-3000,Rent payment
4774-04-05,-200,Grocery shopping
4774-06-03,-1000,Electricity bill
4774-07-07,2500,Client payment
4774-07-01,5000,Salary payment
4774-08-02,-3000,Rent payment
4774-09-05,-200,Grocery shopping
4774-11-03,-1000,Electricity bill
4774-12-07,2500,Client payment
4774-12-01,5000,Salary payment
4775-01-02,-3000,Rent payment
4775-02-05,-200,Grocery shopping
4775-04-03,-1000,Electricity bill
4775-05-07,2500,Client payment
4775-05-01,5000,Salary payment
4775-06-02,-3000,Rent payment
4775-07-05,-200,Grocery shopping
4775-09-03,-1000,Electricity bill
4775-10-07,2500,Client payment
4775-10-01,5000,Salary payment
4775-11-02,-3000,Rent payment
4775-12-05,-200,Grocery shopping
4776-02-03,-1000,Electricity bill
4776-03-07,2500,Client payment
4776-03-01,5000,Salary payment
4776-04-02,-3000,Rent payment
4776-05-05,-200,Grocery shopping
4776-07-03,-1000,Electricity bill
4776-08-07,2500,Client payment
4776-08-01,5000,Salary payment
4776-09-02,-3000,Rent payment
4776-10-05,-200,Grocery shopping
4776-12-03,-1000,Electricity bill
4777-01-07,2500,Client payment
4777-01-01,5000,Salary payment
4777-02-02,-3000,Rent payment
4777-03-05,-200,Grocery shopping
4777-05-03,-1000,Electricity bill
4777-06-07,2500,Client payment
4777-06-01,5000,Salary payment
4777-07-02,-3000,Rent payment
4777-08-05,-200,Grocery shopping
4777-10-03,-1000,Electricity bill
4777-11-07,2500,Client payment
4777-11-01,5000,Salary payment
4777-12-02,-3000,Rent payment
4778-01-05,-200,Grocery shopping
4778-03-03,-1000,Electricity bill
4778-04-07,2500,Client payment
4778-04-01,5000,Salary payment
4778-05-02,-3000,Rent payment
4778-06-05,-200,Grocery shopping
4778-08-03,-1000,Electricity bill
4778-09-07,2500,Client payment
4778-09-01,5000,Salary payment
4778-10-02,-3000,Rent payment
4778-11-05,-200,Grocery shopping
4779-01-03,-1000,Electricity bill
4779-02-07,2500,Client payment
4779-02-01,5000,Salary payment
4779-03-02,-3000,Rent payment
4779-04-05,-200,Grocery shopping
4779-06-03,-1000,Electricity bill
4779-07-07,2500,Client payment
4779-07-01,5000,Salary payment
4779-08-02,-3000,Rent payment
4779-09-05,-200,Grocery shopping
4779-11-03,-1000,Electricity bill
4779-12-07,2500,Client payment
4779-12-01,5000,Salary payment
4780-01-02,-3000,Rent payment
4780-02-05,-200,Grocery shopping
4780-04-03,-1000,Electricity bill
4780-05-07,2500,Client payment
4780-05-01,5000,Salary payment
4780-06-02,-3000,Rent payment
4780-07-05,-200,Grocery shopping
4780-09-03,-1000,Electricity bill
4780-10-07,2500,Client payment
4780-10-01,5000,Salary payment
4780-11-02,-3000,Rent payment
4780-12-05,-200,Grocery shopping
4781-02-03,-1000,Electricity bill
4781-03-07,2500,Client payment
4781-03-01,5000,Salary payment
4781-04-02,-3000,Rent payment
4781-05-05,-200,Grocery shopping
4781-07-03,-1000,Electricity bill
4781-08-07,2500,Client payment
4781-08-01,5000,Salary payment
4781-09-02,-3000,Rent payment
4781-10-05,-200,Grocery shopping
4781-12-03,-1000,Electricity bill
4782-01-07,2500,Client payment
4782-01-01,5000,Salary payment
4782-02-02,-3000,Rent payment
4782-03-05,-200,Grocery shopping
4782-05-03,-1000,Electricity bill
4782-06-07,2500,Client payment
4782-06-01,5000,Salary payment
4782-07-02,-3000,Rent payment
4782-08-05,-200,Grocery shopping
4782-10-03,-1000,Electricity bill
4782-11-07,2500,Client payment
4782-11-01,5000,Salary payment
4782-12-02,-3000,Rent payment
4783-01-05,-200,Grocery shopping
4783-03-03,-1000,Electricity bill
4783-04-07,2500,Client payment
4783-04-01,5000,Salary payment
4783-05-02,-3000,Rent payment
4783-06-05,-200,Grocery shopping
4783-08-03,-1000,Electricity bill
4783-09-07,2500,Client payment
4783-09-01,5000,Salary payment
4783-10-02,-3000,Rent payment
4783-11-05,-200,Grocery shopping
4784-01-03,-1000,Electricity bill
4784-02-07,2500,Client payment
4784-02-01,5000,Salary payment
4784-03-02,-3000,Rent payment
4784-04-05,-200,Grocery shopping
4784-06-03,-1000,Electricity bill
4784-07-07,2500,Client payment
4784-07-01,5000,Salary payment
4784-08-02,-3000,Rent payment
4784-09-05,-200,Grocery shopping
4784-11-03,-1000,Electricity bill
4784-12-07,2500,Client payment
4784-12-01,5000,Salary payment
4785-01-02,-3000,Rent payment
4785-02-05,-200,Grocery shopping
4785-04-03,-1000,Electricity bill
4785-05-07,2500,Client payment
4785-05-01,5000,Salary payment
4785-06-02,-3000,Rent payment
4785-07-05,-200,Grocery shopping
4785-09-03,-1000,Electricity bill
4785-10-07,2500,Client payment
4785-10-01,5000,Salary payment
4785-11-02,-3000,Rent payment
4785-12-05,-200,Grocery shopping
4786-02-03,-1000,Electricity bill
4786-03-07,2500,Client payment
4786-03-01,5000,Salary payment
4786-04-02,-3000,Rent payment
4786-05-05,-200,Grocery shopping
4786-07-03,-1000,Electricity bill
4786-08-07,2500,Client payment
4786-08-01,5000,Salary payment
4786-09-02,-3000,Rent payment
4786-10-05,-200,Grocery shopping
4786-12-03,-1000,Electricity bill
4787-01-07,2500,Client payment
4787-01-01,5000,Salary payment
4787-02-02,-3000,Rent payment
4787-03-05,-200,Grocery shopping
4787-05-03,-1000,Electricity bill
4787-06-07,2500,Client payment
4787-06-01,5000,Salary payment
4787-07-02,-3000,Rent payment
4787-08-05,-200,Grocery shopping
4787-10-03,-1000,Electricity bill
4787-11-07,2500,Client payment
4787-11-01,5000,Salary payment
4787-12-02,-3000,Rent payment
4788-01-05,-200,Grocery shopping
4788-03-03,-1000,Electricity bill
4788-04-07,2500,Client payment
4788-04-01,5000,Salary payment
4788-05-02,-3000,Rent payment
4788-06-05,-200,Grocery shopping
4788-08-03,-1000,Electricity bill
4788-09-07,2500,Client payment
4788-09-01,5000,Salary payment
4788-10-02,-3000,Rent payment
4788-11-05,-200,Grocery shopping
4789-01-03,-1000,Electricity bill
4789-02-07,2500,Client payment
4789-02-01,5000,Salary payment
4789-03-02,-3000,Rent payment
4789-04-05,-200,Grocery shopping
4789-06-03,-1000,Electricity bill
4789-07-07,2500,Client payment
4789-07-01,5000,Salary payment
4789-08-02,-3000,Rent payment
4789-09-05,-200,Grocery shopping
4789-11-03,-1000,Electricity bill
4789-12-07,2500,Client payment
4789-12-01,5000,Salary payment
4790-01-02,-3000,Rent payment
4790-02-05,-200,Grocery shopping
4790-04-03,-1000,Electricity bill
4790-05-07,2500,Client payment
4790-05-01,5000,Salary payment
4790-06-02,-3000,Rent payment
4790-07-05,-200,Grocery shopping
4790-09-03,-1000,Electricity bill
4790-10-07,2500,Client payment
4790-10-01,5000,Salary payment
4790-11-02,-3000,Rent payment
4790-12-05,-200,Grocery shopping
4791-02-03,-1000,Electricity bill
4791-03-07,2500,Client payment
4791-03-01,5000,Salary payment
4791-04-02,-3000,Rent payment
4791-05-05,-200,Grocery shopping
4791-07-03,-1000,Electricity bill
4791-08-07,2500,Client payment
4791-08-01,5000,Salary payment
4791-09-02,-3000,Rent payment
4791-10-05,-200,Grocery shopping
4791-12-03,-1000,Electricity bill
4792-01-07,2500,Client payment
4792-01-01,5000,Salary payment
4792-02-02,-3000,Rent payment
4792-03-05,-200,Grocery shopping
4792-05-03,-1000,Electricity bill
4792-06-07,2500,Client payment
4792-06-01,5000,Salary payment
4792-07-02,-3000,Rent payment
4792-08-05,-200,Grocery shopping
4792-10-03,-1000,Electricity bill
4792-11-07,2500,Client payment
4792-11-01,5000,Salary payment
4792-12-02,-3000,Rent payment
4793-01-05,-200,Grocery shopping
4793-03-03,-1000,Electricity bill
4793-04-07,2500,Client payment
4793-04-01,5000,Salary payment
4793-05-02,-3000,Rent payment
4793-06-05,-200,Grocery shopping
4793-08-03,-1000,Electricity bill
4793-09-07,2500,Client payment
4793-09-01,5000,Salary payment
4793-10-02,-3000,Rent payment
4793-11-05,-200,Grocery shopping
4794-01-03,-1000,Electricity bill
4794-02-07,2500,Client payment
4794-02-01,5000,Salary payment
4794-03-02,-3000,Rent payment
4794-04-05,-200,Grocery shopping
4794-06-03,-1000,Electricity bill
4794-07-07,2500,Client payment
4794-07-01,5000,Salary payment
4794-08-02,-3000,Rent payment
4794-09-05,-200,Grocery shopping
4794-11-03,-1000,Electricity bill
4794-12-07,2500,Client payment
4794-12-01,5000,Salary payment
4795-01-02,-3000,Rent payment
4795-02-05,-200,Grocery shopping
4795-04-03,-1000,Electricity bill
4795-05-07,2500,Client payment
4795-05-01,5000,Salary payment
4795-06-02,-3000,Rent payment
4795-07-05,-200,Grocery shopping
4795-09-03,-1000,Electricity bill
4795-10-07,2500,Client payment
4795-10-01,5000,Salary payment
4795-11-02,-3000,Rent payment
4795-12-05,-200,Grocery shopping
4796-02-03,-1000,Electricity bill
4796-03-07,2500,Client payment
4796-03-01,5000,Salary payment
4796-04-02,-3000,Rent payment
4796-05-05,-200,Grocery shopping
4796-07-03,-1000,Electricity bill
4796-08-07,2500,Client payment
4796-08-01,5000,Salary payment
4796-09-02,-3000,Rent payment
4796-10-05,-200,Grocery shopping
4796-12-03,-1000,Electricity bill
4797-01-07,2500,Client payment
4797-01-01,5000,Salary payment
4797-02-02,-3000,Rent payment
4797-03-05,-200,Grocery shopping
4797-05-03,-1000,Electricity bill
4797-06-07,2500,Client payment
4797-06-01,5000,Salary payment
4797-07-02,-3000,Rent payment
4797-08-05,-200,Grocery shopping
4797-10-03,-1000,Electricity bill
4797-11-07,2500,Client payment
4797-11-01,5000,Salary payment
4797-12-02,-3000,Rent payment
4798-01-05,-200,Grocery shopping
4798-03-03,-1000,Electricity bill
4798-04-07,2500,Client payment
4798-04-01,5000,Salary payment
4798-05-02,-3000,Rent payment
4798-06-05,-200,Grocery shopping
4798-08-03,-1000,Electricity bill
4798-09-07,2500,Client payment
4798-09-01,5000,Salary payment
4798-10-02,-3000,Rent payment
4798-11-05,-200,Grocery shopping
4799-01-03,-1000,Electricity bill
4799-02-07,2500,Client payment
4799-02-01,5000,Salary payment
4799-03-02,-3000,Rent payment
4799-04-05,-200,Grocery shopping
4799-06-03,-1000,Electricity bill
4799-07-07,2500,Client payment
4799-07-01,5000,Salary payment
4799-08-02,-3000,Rent payment
4799-09-05,-200,Grocery shopping
4799-11-03,-1000,Electricity bill
4799-12-07,2500,Client payment
4799-12-01,5000,Salary payment
4800-01-02,-3000,Rent payment
4800-02-05,-200,Grocery shopping
4800-04-03,-1000,Electricity bill
4800-05-07,2500,Client payment
4800-05-01,5000,Salary payment
4800-06-02,-3000,Rent payment
4800-07-05,-200,Grocery shopping
4800-09-03,-1000,Electricity bill
4800-10-07,2500,Client payment
4800-10-01,5000,Salary payment
4800-11-02,-3000,Rent payment
4800-12-05,-200,Grocery shopping
4801-02-03,-1000,Electricity bill
4801-03-07,2500,Client payment
4801-03-01,5000,Salary payment
4801-04-02,-3000,Rent payment
4801-05-05,-200,Grocery shopping
4801-07-03,-1000,Electricity bill
4801-08-07,2500,Client payment
4801-08-01,5000,Salary payment
4801-09-02,-3000,Rent payment
4801-10-05,-200,Grocery shopping
4801-12-03,-1000,Electricity bill
4802-01-07,2500,Client payment
4802-01-01,5000,Salary payment
4802-02-02,-3000,Rent payment
4802-03-05,-200,Grocery shopping
4802-05-03,-1000,Electricity bill
4802-06-07,2500,Client payment
4802-06-01,5000,Salary payment
4802-07-02,-3000,Rent payment
4802-08-05,-200,Grocery shopping
4802-10-03,-1000,Electricity bill
4802-11-07,2500,Client payment
4802-11-01,5000,Salary payment
4802-12-02,-3000,Rent payment
4803-01-05,-200,Grocery shopping
4803-03-03,-1000,Electricity bill
4803-04-07,2500,Client payment
4803-04-01,5000,Salary payment
4803-05-02,-3000,Rent payment
4803-06-05,-200,Grocery shopping
4803-08-03,-1000,Electricity bill
4803-09-07,2500,Client payment
4803-09-01,5000,Salary payment
4803-10-02,-3000,Rent payment
4803-11-05,-200,Grocery shopping
4804-01-03,-1000,Electricity bill
4804-02-07,2500,Client payment
4804-02-01,5000,Salary payment
4804-03-02,-3000,Rent payment
4804-04-05,-200,Grocery shopping
4804-06-03,-1000,Electricity bill
4804-07-07,2500,Client payment
4804-07-01,5000,Salary payment
4804-08-02,-3000,Rent payment
4804-09-05,-200,Grocery shopping
4804-11-03,-1000,Electricity bill
4804-12-07,2500,Client payment
4804-12-01,5000,Salary payment
4805-01-02,-3000,Rent payment
4805-02-05,-200,Grocery shopping
4805-04-03,-1000,Electricity bill
4805-05-07,2500,Client payment
4805-05-01,5000,Salary payment
4805-06-02,-3000,Rent payment
4805-07-05,-200,Grocery shopping
4805-09-03,-1000,Electricity bill
4805-10-07,2500,Client payment
4805-10-01,5000,Salary payment
4805-11-02,-3000,Rent payment
4805-12-05,-200,Grocery shopping
4806-02-03,-1000,Electricity bill
4806-03-07,2500,Client payment
4806-03-01,5000,Salary payment
4806-04-02,-3000,Rent payment
4806-05-05,-200,Grocery shopping
4806-07-03,-1000,Electricity bill
4806-08-07,2500,Client payment
4806-08-01,5000,Salary payment
4806-09-02,-3000,Rent payment
4806-10-05,-200,Grocery shopping
4806-12-03,-1000,Electricity bill
4807-01-07,2500,Client payment
4807-01-01,5000,Salary payment
4807-02-02,-3000,Rent payment
4807-03-05,-200,Grocery shopping
4807-05-03,-1000,Electricity bill
4807-06-07,2500,Client payment
4807-06-01,5000,Salary payment
4807-07-02,-3000,Rent payment
4807-08-05,-200,Grocery shopping
4807-10-03,-1000,Electricity bill
4807-11-07,2500,Client payment
4807-11-01,5000,Salary payment
4807-12-02,-3000,Rent payment
4808-01-05,-200,Grocery shopping
4808-03-03,-1000,Electricity bill
4808-04-07,2500,Client payment
4808-04-01,5000,Salary payment
4808-05-02,-3000,Rent payment
4808-06-05,-200,Grocery shopping
4808-08-03,-1000,Electricity bill
4808-09-07,2500,Client payment
4808-09-01,5000,Salary payment
4808-10-02,-3000,Rent payment
4808-11-05,-200,Grocery shopping
4809-01-03,-1000,Electricity bill
4809-02-07,2500,Client payment
4809-02-01,5000,Salary payment
4809-03-02,-3000,Rent payment
4809-04-05,-200,Grocery shopping
4809-06-03,-1000,Electricity bill
4809-07-07,2500,Client payment
4809-07-01,5000,Salary payment
4809-08-02,-3000,Rent payment
